Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),SOC
0,3.471264839,0,0,1
0.999713123,3.619649172,0.002781398,0,1
0.999893069,3.625804663,0.005562755,0,1
0.999893069,3.630340576,0.008344267,0,1
0.999713123,3.633742332,0.011125794,0,1
0.999893069,3.636496305,0.013902986,0,1
0.999713123,3.638602018,0.016684357,0,1
0.999713123,3.640546083,0.019465729,0,1
0.999893069,3.642651796,0.022247265,0,1
0.999893069,3.644433737,0.025028741,0,1
0.999713123,3.646215677,0.027805849,0,1
0.999713123,3.647835493,0.030591696,0,1
0.999713123,3.649455547,0.03336884,0,1
0.999893069,3.651399374,0.036154688,0,1
0.999893069,3.653019428,0.038931826,0,1
0.999893069,3.654801369,0.041708997,0,1
0.999713123,3.656583071,0.044494852,0,1
0.999893069,3.658365011,0.047276226,0,1
0.999893069,3.659985065,0.050057668,0,1
0.999893069,3.661767006,0.052834703,0,1
0.999893069,3.663548708,0.055616174,0,1
0.999713123,3.665330648,0.058393253,0,1
0.999893069,3.666950703,0.061174696,0,1
0.999713123,3.668570518,0.063956075,0,1
0.999533176,3.670190334,0.066737521,0,1
0.999713123,3.671972275,0.069514624,0,1
0.999893069,3.673592329,0.072296042,0,1
0.999893069,3.675212145,0.075081823,0,1
0.999893069,3.676994085,0.077858973,0,1
1.000073075,3.678290129,0.080640327,0,1
0.999533176,3.679909945,0.083413166,0,1
0.999713123,3.68152976,0.086194644,0,1
0.999713123,3.68298769,0.088976014,0,1
0.999713123,3.684607744,0.091757423,0,1
0.999893069,3.68622756,0.094534533,0,1
0.999533176,3.687523603,0.097320296,0,1
1.000073075,3.689305544,0.100097414,0,1
0.999893069,3.690439463,0.102883225,0,1
0.999893069,3.692221403,0.105660336,0,1
0.999713123,3.693517208,0.108446212,0,1
0.999893069,3.694975138,0.111227666,0,1
0.999713123,3.696595192,0.114004897,0,1
1.000073075,3.698053122,0.116781981,0,1
0.999533176,3.699348927,0.119567762,0,1
0.999713123,3.70064497,0.122349261,0,1
0.999893069,3.7021029,0.125130685,0,1
0.999713123,3.703398705,0.127907735,0,1
0.999533176,3.704856634,0.130693498,0,1
0.999893069,3.706152678,0.13347495,0,1
0.999893069,3.707610607,0.136256403,0,1
1.000073075,3.708906412,0.139037859,0,1
0.999713123,3.710040331,0.141815009,0,1
0.999893069,3.71149826,0.144596414,0,1
0.999893069,3.71295619,0.147377906,0,1
0.999713123,3.713928223,0.150155092,0,1
0.999713123,3.715224028,0.152932144,0,1
0.999713123,3.716681957,0.155717924,0,1
0.999893069,3.717815876,0.158499351,0,1
0.999893069,3.719111919,0.161280807,0,1
0.999893069,3.720407963,0.16405796,0,1
0.999713123,3.721703768,0.166843714,0,1
0.999893069,3.722999811,0.169625212,0,1
0.999713123,3.723971605,0.172406612,0,1
